is_retweet,created_at,text
True,Thu Dec 07 00:54:42 +0000 2017,"RT @VP: Today, @POTUS took a historic step to make it clear America stands with our allies - especially our most cherished ally, Israel. ht…"
True,Sun Dec 03 16:56:10 +0000 2017,RT @realDonaldTrump: Report: “ANTI-TRUMP FBI AGENT LED CLINTON EMAIL PROBE”  Now it all starts to make sense!
True,Thu Dec 14 21:03:04 +0000 2017,"RT @realDonaldTrump: When Americans are free to thrive, innovate, &amp; prosper, there is no challenge too great, no task too large, &amp; no goal…"
True,Sun Dec 17 21:14:26 +0000 2017,RT @realDonaldTrump: Wonderful weekend at Camp David. A very special place. A lot of very important work done. Heading back to the @WhiteHo…
True,Fri Dec 01 21:33:51 +0000 2017,RT @SecretarySonny: Telling @DanSpindle from @abc15 in Phoenix that agriculture will benefit tremendously from tax cuts and reforms. Most f…
True,Sat Dec 16 00:13:34 +0000 2017,"RT @realDonaldTrump: DOW, S&amp;P 500 and NASDAQ close at record highs! #MAGA https://t.co/hvqwnqSGuG"
True,Mon Dec 18 23:50:03 +0000 2017,"RT @realDonaldTrump: With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WI…"
True,Thu Dec 07 21:20:01 +0000 2017,"RT @realDonaldTrump: Across the battlefields, oceans, and harrowing skies of Europe and the Pacific throughout the war, one great battle cr…"
True,Wed Dec 06 21:15:16 +0000 2017,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
True,Sat Dec 16 05:46:02 +0000 2017,"RT @Scavino45: “Our cities should not be sanctuaries for criminals — they should be sanctuaries for Americans....”
@POTUS @realDonaldTrump…"
True,Sat Dec 16 05:46:25 +0000 2017,RT @WhiteHouse: West Wing Reads: https://t.co/gAjkgGIIMV https://t.co/orGMPjeac9
True,Sun Dec 03 16:55:51 +0000 2017,"RT @realDonaldTrump: After years of Comey, with the phony and dishonest Clinton investigation (and more), running the FBI, its reputation i…"
True,Fri Dec 01 20:10:55 +0000 2017,RT @realDonaldTrump: The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not leavi…
True,Sun Dec 03 16:55:35 +0000 2017,RT @realDonaldTrump: Many people in our Country are asking what the “Justice” Department is going to do about the fact that totally Crooked…
True,Sat Dec 02 07:44:03 +0000 2017,RT @VP: Honored to preside during tonight's historic tax cut vote in the U.S. Senate... https://t.co/TpL7uX6Rmb
True,Fri Dec 01 21:31:37 +0000 2017,"RT @PressSec: The Trump effect: “The U.S. economy is running at its full potential for the first time in a decade” -WSJ
https://t.co/ee5N0z…"
True,Fri Dec 01 21:31:23 +0000 2017,RT @GOPLeader: Our government should and always put the safety of the American people first. The Senate should follow our lead and pass #Ka…
