is_retweet,created_at,text
True,Tue Dec 12 17:05:28 +0000 2017,"RT @WhiteHouse: Watch LIVE as President Trump Signs H.R. 2810, National Defense Authorization Act for Fiscal Year 2018: https://t.co/3hNtH3…"
True,Wed Dec 06 22:37:24 +0000 2017,RT @StephGrisham45: .@FLOTUS speaking now after mtg family &amp; touring home devastated by #HurricaneHarvey. Offers support &amp; continued resour…
True,Tue Dec 12 20:43:54 +0000 2017,RT @FLOTUS: Enjoyed last week’s visit to @childrenshealth in DC. Was wonderful to meet brave patients &amp; their families. Wishing everyone a…
True,Wed Dec 06 19:00:05 +0000 2017,RT @WhiteHouse: President Trump is following through on his promise to recognize Jerusalem as the capital of the State of Israel and has in…
True,Wed Dec 06 13:41:04 +0000 2017,RT @TomBossert45: Just spoke with @JerryBrownGov. We are praying for the people of Ventura and LA Counties in the path of the wildfires. Th…
False,Thu Dec 14 21:02:29 +0000 2017,"Great discussion w/ @onetoughnerd, @KimReynoldsIA, @BillHaslam &amp; @AsaHutchinson about how @POTUS' priorities of pro… https://t.co/TDHyF1T0zl"
True,Mon Dec 11 23:00:46 +0000 2017,RT @WhiteHouse: President Trump will make America a leader in space exploration again. Read more: https://t.co/OLVLsXZlTi https://t.co/Eiaw…
False,Mon Dec 11 18:31:12 +0000 2017,.@POTUS &amp; I STAND w/ people of faith. Honored to meet faith leaders to review what POTUS has done to protect life &amp;… https://t.co/es6GcRXEYZ
True,Sat Dec 16 21:30:38 +0000 2017,"RT @realDonaldTrump: TAX CUTS will increase investment in the American economy and in U.S. workers, leading to higher growth, higher wages,…"
True,Sun Dec 10 18:17:17 +0000 2017,"RT @FLOTUS: The effects of the hurricane season are still being felt &amp; residents still need our help. As Christmas &amp; the New Year approach,…"
True,Thu Dec 07 02:41:55 +0000 2017,RT @FLOTUS: Thank you #Texas! So enjoyed my visit with everyone today. Special thanks to 1st responders &amp; @CoastalBendFB for all that you d…
True,Fri Dec 15 22:59:24 +0000 2017,"RT @realDonaldTrump: You are always there for us – THE MEN AND WOMEN IN BLUE.

Thank you to our police, thank you to our sheriffs, and than…"
False,Tue Dec 12 19:05:06 +0000 2017,.@POTUS is keeping his promise to the American people to rebuild our military by signing the National Defense Autho… https://t.co/lQGLK2Itds
