is_retweet,created_at,text
False,Tue Mar 06 16:28:03 +0000 2018,"Today, President Trump will welcome Prime Minister Stefan Löfven of Sweden to the White House.

Watch the joint pre… https://t.co/IQY2BFL6Bl"
True,Sat Mar 03 14:16:38 +0000 2018,RT @realDonaldTrump: Happy National Anthem Day! https://t.co/cf1eugMbKU
False,Tue Mar 06 18:04:02 +0000 2018,President Trump hosted Israeli Prime Minister Netanyahu for a bilateral visit yesterday. The leaders discussed the… https://t.co/5mkKzBkxMx
False,Fri Mar 09 16:49:03 +0000 2018,"""The President will not stand idle while unfair practices erode America’s steel and aluminum industries and threate… https://t.co/uxXUcSQVho"
False,Mon Mar 05 22:01:21 +0000 2018,Oklahoma Gov. Fallin and Transportation Sec. Patterson: “Trump’s infrastructure plan brings needed attention for im… https://t.co/JwcZtgRlOP
False,Fri Mar 09 20:28:00 +0000 2018,"""America has also finally turned the page on decades of unfair trade deals that sacrificed our prosperity and shipp… https://t.co/5Cd9CpLtcu"
True,Fri Mar 09 00:54:58 +0000 2018,RT @PressSec: .@POTUS greatly appreciates the nice words of the S. Korean delegation &amp; Pres Moon. He will accept the invitation to meet w/…
False,Wed Mar 07 18:28:03 +0000 2018,".@WHOSTP has built a robust team to advise the President on science &amp; technology, support the President’s agenda, a… https://t.co/f70RMiscYh"
True,Thu Mar 01 17:43:59 +0000 2018,RT @VP: Thanked the incredible men and women who work at @DHSgov for stepping up to protect our homeland &amp; our people. America is SAFER and…
False,Tue Mar 06 00:48:04 +0000 2018,Tonight's edition of West Wing Reads: https://t.co/qLQ52VjnBo https://t.co/0YD4dKAPFn
False,Mon Mar 05 22:49:00 +0000 2018,.@PressSec: “The bond between the United States and Israel is the strongest it has ever been.” https://t.co/wR39Y5ndWd
False,Wed Feb 28 17:08:05 +0000 2018,"President Trump shared yesterday that Johnny Taylor, Jr., former seven-year president of the Thurgood Marshall Coll… https://t.co/tryviml7WP"
False,Fri Mar 09 01:13:02 +0000 2018,Check out tonight's edition of West Wing Reads: https://t.co/EpzTYowU1F https://t.co/NEiVhKD2dy
False,Wed Feb 28 18:19:03 +0000 2018,"""We can only imagine the number of lives touched by the preaching and the prayers of Billy Graham –- the hearts he… https://t.co/IPSG7DI4SW"
False,Thu Mar 01 17:52:46 +0000 2018,Watch LIVE as the White House hosts an Opioid Summit to discuss the Administration-wide efforts to combat the opioi… https://t.co/ImFzMzmKPG
False,Wed Feb 28 00:49:03 +0000 2018,Tonight's edition of West Wing Reads: https://t.co/xMbSR7GwUN https://t.co/83jdGlwAFY
True,Mon Mar 05 21:16:54 +0000 2018,RT @FLOTUS: Great visit with Prime Minister Benjamin &amp; Mrs. Netanyahu!  Enjoyed hosting Sarah Netanyahu for lunch to discuss how we can mak…
False,Thu Mar 08 16:06:05 +0000 2018,"For far too long, California has obstructed Federal law and put the interests of criminal aliens ahead of the well-… https://t.co/Q1QMc9iV1h"
True,Wed Feb 28 18:54:14 +0000 2018,"RT @realDonaldTrump: Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los Ange…"
True,Thu Feb 22 01:41:44 +0000 2018,"RT @realDonaldTrump: I will always remember the time I spent today with courageous students, teachers and families. So much love in the mid…"
False,Wed Feb 14 18:03:22 +0000 2018,"This week, President Trump laid out six principles for rebuilding our Nation’s crumbling infrastructure. One such p… https://t.co/ibarAB0zxL"
False,Sat Feb 17 15:11:02 +0000 2018,Americans overwhelmingly support President Trump's commonsense immigration reforms: https://t.co/o2ZdnM4Z9F https://t.co/h0DCryZkYY
False,Wed Feb 14 18:32:04 +0000 2018,Americans overwhelmingly support President Trump's commonsense immigration reforms. More: https://t.co/o2ZdnM4Z9F https://t.co/es6rqzFrfK
False,Fri Feb 23 15:57:07 +0000 2018,"""We want to hear ideas from Americans of all backgrounds and beliefs about how we can improve security at our schoo… https://t.co/VO3kwpHOZG"
False,Tue Feb 20 23:54:01 +0000 2018,"""‘Public opinion is moving in the direction of this bill,’ Chief Research Officer for SurveyMonkey Jon Cohen told t… https://t.co/c205sMQWFQ"
True,Fri Feb 23 17:49:55 +0000 2018,RT @stevenmnuchin1: Today the @USTreasury announced the largest NK related sanctions tranche to date. Companies who choose to help fund NK’…
False,Thu Feb 22 16:57:00 +0000 2018,"President Trump, Vice President Pence, &amp; Secretary of Education DeVos sat down yesterday afternoon with a large gro… https://t.co/yZh9e3HC3W"
False,Thu Feb 22 18:54:02 +0000 2018,Rural infrastructure is in need of repair. Infrastructure systems across rural America have fallen into a state of… https://t.co/uJLzwBZEt0
True,Thu Feb 15 13:58:55 +0000 2018,"RT @PressSec: The President will address the nation at 11am today on the tragic shooting in Parkland, Florida"
True,Sat Feb 17 15:08:00 +0000 2018,RT @VP: Surveyed border w/ @DHSgov @SecNielsen &amp; @SenTedCruz &amp; thanked @CBP for their hard work to secure our border. Being at the southern…
False,Wed Feb 21 00:49:02 +0000 2018,Tonight's edition of West Wing Reads: https://t.co/HqLlJZSZQa https://t.co/eOTbyKqVK7
True,Mon Feb 26 19:54:20 +0000 2018,"RT @VP: Since day one, the Trump Admin has partnered with Governors on issues that matter most to the American people. Today’s meeting w/ o…"
False,Wed Feb 21 21:20:17 +0000 2018,President Trump hosts a listening session with high school students and teachers: https://t.co/xzL8qO7xj6
False,Sun Feb 25 00:04:02 +0000 2018,"On tax cuts, Americans believe the results more than the spin: https://t.co/5VHkyRyWh6 https://t.co/mkUITd8jQs"
False,Thu Feb 22 00:24:01 +0000 2018,Far too many Americans living in rural communities lack sufficient broadband access. More on why rural communities… https://t.co/2Q1RU6sl0g
True,Wed Feb 14 15:56:00 +0000 2018,"RT @DHSgov: The Secure and Succeed Act secures the border, ends chain migration, cancels the Visa Lottery, and finds a permanent solution f…"
