created_at,is_retweet,text,tweet_id
Tue Dec 12 18:59:52 +0000 2017,False,Important conversation w/ my great friend @GovHolcomb &amp; auto manufacturers w/ operations in Indiana re: @POTUS' com… https://t.co/1siSVjvDap,Pre-Update
Tue Dec 12 20:12:13 +0000 2017,False,Great to speak to the Values Action Team on the Hill. It was an honor to join such an extraordinary group of leader… https://t.co/ckJ4xRVuEt,Pre-Update
Mon Dec 18 19:02:11 +0000 2017,False,.@POTUS Trump will discuss his National Security Strategy to advance America’s interests. Watch live →… https://t.co/GNgeRk5tmZ,Pre-Update
Tue Dec 12 23:27:40 +0000 2017,True,RT @SecondLady: Enjoyed spending time with children and their families @MedStarGUH today. Thank you to the wonderful staff for taking me ar…,Pre-Update
Mon Dec 18 19:52:34 +0000 2017,True,"RT @SecondLady: As #Christmas approaches, we honor military service members and their families. We appreciate the sacrifices you make to pr…",Pre-Update
Thu Dec 07 01:45:35 +0000 2017,True,RT @WhiteHouse: President Trump's proclamation on Jerusalem as the capital of the State of Israel: https://t.co/67yWkkXLV4 https://t.co/q5d…,Pre-Update
Thu Dec 07 00:27:51 +0000 2017,False,Speaking at the 2017 @kempfoundation Leadership Award Dinner about @POTUS' efforts to ensure America's safety &amp; sec… https://t.co/1uSUpx82kV,Pre-Update
Mon Dec 18 20:06:48 +0000 2017,False,Our hearts break after hearing about the fatalities on board the train that derailed in Washington. Please keep the… https://t.co/xH2SmCgFdR,Pre-Update
Thu Dec 07 15:35:19 +0000 2017,False,Today we remember the thousands who gave their lives in the attack on Pearl Harbor 76 years ago. We honor the lost… https://t.co/RlZJnXksC8,Pre-Update
Mon Dec 18 19:33:19 +0000 2017,False,.@POTUS Trump has no higher priority than the safety and security of the American people – and since the outset of… https://t.co/Azm05RrzrX,Pre-Update
Fri Dec 15 22:54:16 +0000 2017,True,"RT @realDonaldTrump: Today, it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in…",Pre-Update
Tue Dec 12 21:18:24 +0000 2017,False,Briefed bipartisan group of California reps on the fed response to #CAwildfires. @POTUS approved an emergency decla… https://t.co/jyeUKpmrwO,Pre-Update
Mon Dec 11 20:59:25 +0000 2017,False,"In pursuing the objectives of the National Space Council, @POTUS Trump’s actions will enhance our nat'l security, p… https://t.co/LunFfYstYW",Pre-Update
Fri Dec 15 16:17:53 +0000 2017,False,Congratulations to the most recent graduates of the @FBI National Academy. THANK YOU for your service to our nation… https://t.co/HfdY6oHbzF,Pre-Update
Tue Dec 12 22:14:48 +0000 2017,False,"Tonight, Jews around the world will gather to light the first of eight #Hanukkah candles commemorating the fight fo… https://t.co/RRlzraBgtL",Pre-Update
Tue Dec 12 17:05:28 +0000 2017,True,"RT @WhiteHouse: Watch LIVE as President Trump Signs H.R. 2810, National Defense Authorization Act for Fiscal Year 2018: https://t.co/3hNtH3…",Pre-Update
Wed Dec 06 22:37:24 +0000 2017,True,RT @StephGrisham45: .@FLOTUS speaking now after mtg family &amp; touring home devastated by #HurricaneHarvey. Offers support &amp; continued resour…,Pre-Update
