is_retweet,created_at,text
False,Thu Jan 04 11:02:14 +0000 2018,Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They… https://t.co/1IuVCra2M1
False,Sun Jan 07 15:15:50 +0000 2018,Jake Tapper of Fake News CNN just got destroyed in his interview with Stephen Miller of the Trump Administration. W… https://t.co/eIIiydV1hR
True,Tue Jan 16 00:47:59 +0000 2018,"RT @Heritage: We had a special visitor yesterday. @IvankaTrump, thank you for meeting with @KayColesJames, spending time with our team, and…"
False,Tue Jan 09 23:07:09 +0000 2018,"Today, it was my great honor to sign a new Executive Order to ensure Veterans have the resources they need as they… https://t.co/LuZk37y8SI"
False,Wed Jan 10 04:23:58 +0000 2018,".@ICEgov HSI agents and ERO officers, on behalf of an entire Nation, THANK YOU for what you are doing 24/7/365 to k… https://t.co/yN90uqG6z8"
False,Fri Jan 12 02:43:56 +0000 2018,"Thank you Adam Levine, The Federalist, in interview on @foxandfriends  “Donald Trump is the greatest President our Country has ever seen.”"
False,Thu Jan 11 04:29:02 +0000 2018,"Good news: Toyota and Mazda announce giant new Huntsville, Alabama, plant which will produce over 300,000 cars and… https://t.co/p9dtyrd5Be"
True,Tue Jan 16 00:53:19 +0000 2018,"RT @realDonaldTrump: I, as President, want people coming into our Country who are going to help us become strong and great again, people co…"
False,Mon Jan 08 19:06:40 +0000 2018,Can’t wait to be back in the amazing state of Tennessee to address the 99th American @FarmBureau Federation’s Annua… https://t.co/UxBD2DBv2G
False,Thu Jan 04 15:48:04 +0000 2018,"Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing."
False,Fri Jan 12 04:57:57 +0000 2018,Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the… https://t.co/9crSrOBXme
False,Fri Jan 05 14:32:44 +0000 2018,"Well, now that collusion with Russia is proving to be a total hoax and the only collusion is with Hillary Clinton a… https://t.co/9hkgQun4vG"
True,Tue Jan 16 00:48:04 +0000 2018,RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/b81NtQGhHa
False,Thu Jan 11 12:33:21 +0000 2018,"“House votes on controversial FISA ACT today.” This is the act that may have been used, with the help of the discre… https://t.co/PMLpbrd3pp"
